ts	repeat	pod	cpu	mem
1777270748	2	hermod-coordinator-7f48c8ffcd-6thzc	629m	146Mi
1777270748	2	nanomq-6bff899d4f-g22kq	97m	1Mi
1777270748	2	postgres-0	119m	334Mi
1777270749	2	hermod-coordinator-7f48c8ffcd-6thzc	629m	146Mi
1777270749	2	nanomq-6bff899d4f-g22kq	97m	1Mi
1777270749	2	postgres-0	119m	334Mi
1777270750	2	hermod-coordinator-7f48c8ffcd-6thzc	629m	146Mi
1777270750	2	nanomq-6bff899d4f-g22kq	97m	1Mi
1777270750	2	postgres-0	119m	334Mi
1777270751	2	hermod-coordinator-7f48c8ffcd-6thzc	10m	146Mi
1777270751	2	nanomq-6bff899d4f-g22kq	96m	2Mi
1777270751	2	postgres-0	25m	334Mi
1777270752	2	hermod-coordinator-7f48c8ffcd-6thzc	10m	146Mi
1777270752	2	nanomq-6bff899d4f-g22kq	96m	2Mi
1777270752	2	postgres-0	25m	334Mi
1777270753	2	hermod-coordinator-7f48c8ffcd-6thzc	10m	146Mi
1777270753	2	nanomq-6bff899d4f-g22kq	96m	2Mi
1777270753	2	postgres-0	25m	334Mi
1777270754	2	hermod-coordinator-7f48c8ffcd-6thzc	10m	146Mi
1777270754	2	nanomq-6bff899d4f-g22kq	96m	2Mi
1777270754	2	postgres-0	25m	334Mi
1777270755	2	hermod-coordinator-7f48c8ffcd-6thzc	10m	146Mi
1777270755	2	nanomq-6bff899d4f-g22kq	96m	2Mi
1777270755	2	postgres-0	25m	334Mi
1777270756	2	hermod-coordinator-7f48c8ffcd-6thzc	10m	146Mi
1777270756	2	nanomq-6bff899d4f-g22kq	96m	2Mi
1777270756	2	postgres-0	25m	334Mi
1777270757	2	hermod-coordinator-7f48c8ffcd-6thzc	10m	146Mi
1777270757	2	nanomq-6bff899d4f-g22kq	96m	2Mi
1777270757	2	postgres-0	25m	334Mi
1777270759	2	hermod-coordinator-7f48c8ffcd-6thzc	10m	146Mi
1777270759	2	nanomq-6bff899d4f-g22kq	96m	2Mi
1777270759	2	postgres-0	25m	334Mi
1777270760	2	hermod-coordinator-7f48c8ffcd-6thzc	10m	146Mi
1777270760	2	nanomq-6bff899d4f-g22kq	96m	2Mi
1777270760	2	postgres-0	25m	334Mi
1777270761	2	hermod-coordinator-7f48c8ffcd-6thzc	10m	146Mi
