ts	repeat	pod	cpu	mem
1777261217	2	nanomq-69c68bbbd4-8b79w	169m	1Mi
1777261217	2	postgres-0	56m	328Mi
1777261219	2	hermod-coordinator-6779fc4454-plk8h	437m	147Mi
1777261219	2	nanomq-69c68bbbd4-8b79w	169m	1Mi
1777261219	2	postgres-0	56m	328Mi
1777261220	2	hermod-coordinator-6779fc4454-plk8h	437m	147Mi
1777261220	2	nanomq-69c68bbbd4-8b79w	169m	1Mi
1777261220	2	postgres-0	56m	328Mi
1777261221	2	hermod-coordinator-6779fc4454-plk8h	437m	147Mi
1777261221	2	nanomq-69c68bbbd4-8b79w	169m	1Mi
1777261221	2	postgres-0	56m	328Mi
1777261222	2	hermod-coordinator-6779fc4454-plk8h	437m	147Mi
1777261222	2	nanomq-69c68bbbd4-8b79w	169m	1Mi
1777261222	2	postgres-0	56m	328Mi
1777261223	2	hermod-coordinator-6779fc4454-plk8h	437m	147Mi
1777261223	2	nanomq-69c68bbbd4-8b79w	169m	1Mi
1777261223	2	postgres-0	56m	328Mi
1777261224	2	hermod-coordinator-6779fc4454-plk8h	437m	147Mi
1777261224	2	nanomq-69c68bbbd4-8b79w	169m	1Mi
1777261224	2	postgres-0	56m	328Mi
1777261225	2	hermod-coordinator-6779fc4454-plk8h	437m	147Mi
1777261225	2	nanomq-69c68bbbd4-8b79w	169m	1Mi
1777261225	2	postgres-0	56m	328Mi
1777261226	2	hermod-coordinator-6779fc4454-plk8h	437m	147Mi
1777261226	2	nanomq-69c68bbbd4-8b79w	169m	1Mi
1777261226	2	postgres-0	56m	328Mi
1777261227	2	hermod-coordinator-6779fc4454-plk8h	498m	150Mi
1777261227	2	nanomq-69c68bbbd4-8b79w	98m	1Mi
1777261227	2	postgres-0	119m	329Mi
1777261228	2	hermod-coordinator-6779fc4454-plk8h	498m	150Mi
1777261228	2	nanomq-69c68bbbd4-8b79w	98m	1Mi
1777261228	2	postgres-0	119m	329Mi
1777261229	2	hermod-coordinator-6779fc4454-plk8h	498m	150Mi
1777261229	2	nanomq-69c68bbbd4-8b79w	98m	1Mi
1777261229	2	postgres-0	119m	329Mi
1777261230	2	hermod-coordinator-6779fc4454-plk8h	498m	150Mi
1777261230	2	nanomq-69c68bbbd4-8b79w	98m	1Mi
