ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777276592	1.92	1.62	1.40	1687	6249	16	15378891768	2399466384
1777276604	2.07	1.67	1.41	1729	6207	16	15380057557	2402262620
1777276615	1.91	1.64	1.41	1726	6211	16	15380226256	2402991620
1777276627	1.83	1.64	1.41	1737	6200	16	15380768436	2404093849
1777276638	1.69	1.62	1.41	1767	6169	16	15381309033	2405164066
1777276650	1.59	1.60	1.40	1768	6169	16	15381692173	2406086022
1777276661	1.57	1.60	1.40	1788	6149	16	15381823451	2406692144
