ts	repeat	pod	cpu	mem
1777268874	1	hermod-coordinator-84f56b5d-mr9fd	164m	40Mi
1777268874	1	nanomq-644cfc4bd-bwlqb	3m	1Mi
1777268874	1	postgres-0	7m	315Mi
1777268875	1	hermod-coordinator-84f56b5d-mr9fd	164m	40Mi
1777268875	1	nanomq-644cfc4bd-bwlqb	3m	1Mi
1777268875	1	postgres-0	7m	315Mi
1777268876	1	hermod-coordinator-84f56b5d-mr9fd	594m	74Mi
1777268876	1	nanomq-644cfc4bd-bwlqb	1m	1Mi
1777268876	1	postgres-0	10m	315Mi
1777268877	1	hermod-coordinator-84f56b5d-mr9fd	594m	74Mi
1777268877	1	nanomq-644cfc4bd-bwlqb	1m	1Mi
1777268877	1	postgres-0	10m	315Mi
1777268878	1	hermod-coordinator-84f56b5d-mr9fd	594m	74Mi
1777268878	1	nanomq-644cfc4bd-bwlqb	1m	1Mi
1777268878	1	postgres-0	10m	315Mi
1777268879	1	hermod-coordinator-84f56b5d-mr9fd	594m	74Mi
1777268879	1	nanomq-644cfc4bd-bwlqb	1m	1Mi
1777268879	1	postgres-0	10m	315Mi
1777268880	1	hermod-coordinator-84f56b5d-mr9fd	594m	74Mi
1777268880	1	nanomq-644cfc4bd-bwlqb	1m	1Mi
1777268880	1	postgres-0	10m	315Mi
1777268882	1	hermod-coordinator-84f56b5d-mr9fd	594m	74Mi
1777268882	1	nanomq-644cfc4bd-bwlqb	1m	1Mi
1777268882	1	postgres-0	10m	315Mi
1777268883	1	hermod-coordinator-84f56b5d-mr9fd	594m	74Mi
1777268883	1	nanomq-644cfc4bd-bwlqb	1m	1Mi
1777268883	1	postgres-0	10m	315Mi
1777268884	1	hermod-coordinator-84f56b5d-mr9fd	594m	74Mi
1777268884	1	nanomq-644cfc4bd-bwlqb	1m	1Mi
1777268884	1	postgres-0	10m	315Mi
1777268885	1	hermod-coordinator-84f56b5d-mr9fd	594m	74Mi
1777268885	1	nanomq-644cfc4bd-bwlqb	1m	1Mi
1777268885	1	postgres-0	10m	315Mi
1777268886	1	hermod-coordinator-84f56b5d-mr9fd	594m	74Mi
1777268886	1	nanomq-644cfc4bd-bwlqb	1m	1Mi
1777268886	1	postgres-0	10m	315Mi
1777268887	1	hermod-coordinator-84f56b5d-mr9fd	594m	74Mi
1777268887	1	nanomq-644cfc4bd-bwlqb	1m	1Mi
1777268887	1	postgres-0	10m	315Mi
1777268888	1	hermod-coordinator-84f56b5d-mr9fd	594m	74Mi
1777268888	1	nanomq-644cfc4bd-bwlqb	1m	1Mi
1777268888	1	postgres-0	10m	315Mi
1777268889	1	hermod-coordinator-84f56b5d-mr9fd	594m	74Mi
1777268889	1	nanomq-644cfc4bd-bwlqb	1m	1Mi
1777268889	1	postgres-0	10m	315Mi
1777268890	1	hermod-coordinator-84f56b5d-mr9fd	594m	74Mi
1777268890	1	nanomq-644cfc4bd-bwlqb	1m	1Mi
1777268890	1	postgres-0	10m	315Mi
1777268891	1	hermod-coordinator-84f56b5d-mr9fd	594m	74Mi
1777268891	1	nanomq-644cfc4bd-bwlqb	1m	1Mi
1777268891	1	postgres-0	10m	315Mi
1777268892	1	hermod-coordinator-84f56b5d-mr9fd	268m	98Mi
1777268892	1	nanomq-644cfc4bd-bwlqb	79m	1Mi
1777268892	1	postgres-0	9m	315Mi
1777268893	1	hermod-coordinator-84f56b5d-mr9fd	268m	98Mi
1777268893	1	nanomq-644cfc4bd-bwlqb	79m	1Mi
1777268893	1	postgres-0	9m	315Mi
