ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777275948	2.17	1.74	1.34	1572	6365	15	15359347576	2366691191
1777275960	2.29	1.78	1.36	1568	6369	15	15359403982	2366947615
1777275971	2.02	1.74	1.35	1616	6320	15	15359807490	2367965840
1777275982	2.06	1.77	1.37	1644	6292	15	15360580473	2369773232
1777275994	2.07	1.77	1.37	1656	6280	15	15361127140	2370226133
1777276005	1.82	1.73	1.36	1689	6248	16	15362982676	2370923196
1777276016	1.50	1.66	1.35	1716	6220	16	15364895834	2371622651
1777276028	1.35	1.62	1.34	1709	6228	16	15365575776	2372039368
