ts	repeat	pod	cpu	mem
1777260902	2	hermod-coordinator-6f59447cf4-jwc9t	139m	160Mi
1777260902	2	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260902	2	postgres-0	10m	327Mi
1777260903	2	hermod-coordinator-6f59447cf4-jwc9t	139m	160Mi
1777260903	2	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260903	2	postgres-0	10m	327Mi
1777260904	2	hermod-coordinator-6f59447cf4-jwc9t	139m	160Mi
1777260904	2	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260904	2	postgres-0	10m	327Mi
1777260905	2	hermod-coordinator-6f59447cf4-jwc9t	139m	160Mi
1777260905	2	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260905	2	postgres-0	10m	327Mi
1777260906	2	hermod-coordinator-6f59447cf4-jwc9t	139m	160Mi
1777260906	2	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260906	2	postgres-0	10m	327Mi
1777260907	2	hermod-coordinator-6f59447cf4-jwc9t	139m	160Mi
1777260907	2	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260907	2	postgres-0	10m	327Mi
1777260908	2	hermod-coordinator-6f59447cf4-jwc9t	139m	160Mi
1777260908	2	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260908	2	postgres-0	10m	327Mi
1777260909	2	hermod-coordinator-6f59447cf4-jwc9t	139m	160Mi
1777260909	2	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260909	2	postgres-0	10m	327Mi
1777260910	2	hermod-coordinator-6f59447cf4-jwc9t	139m	160Mi
1777260910	2	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260910	2	postgres-0	10m	327Mi
1777260911	2	hermod-coordinator-6f59447cf4-jwc9t	815m	152Mi
1777260911	2	nanomq-86d6c4c564-g8kr4	185m	1Mi
1777260911	2	postgres-0	149m	327Mi
1777260912	2	hermod-coordinator-6f59447cf4-jwc9t	815m	152Mi
1777260912	2	nanomq-86d6c4c564-g8kr4	185m	1Mi
1777260912	2	postgres-0	149m	327Mi
1777260913	2	hermod-coordinator-6f59447cf4-jwc9t	815m	152Mi
1777260913	2	nanomq-86d6c4c564-g8kr4	185m	1Mi
1777260913	2	postgres-0	149m	327Mi
