ts	repeat	pod	cpu	mem
1777271346	2	hermod-coordinator-58987bd45c-5mqrd	618m	145Mi
1777271346	2	nanomq-5b8db4c554-b876v	236m	1Mi
1777271346	2	postgres-0	12m	334Mi
1777271347	2	hermod-coordinator-58987bd45c-5mqrd	618m	145Mi
1777271347	2	nanomq-5b8db4c554-b876v	236m	1Mi
1777271347	2	postgres-0	12m	334Mi
1777271348	2	hermod-coordinator-58987bd45c-5mqrd	618m	145Mi
1777271348	2	nanomq-5b8db4c554-b876v	236m	1Mi
1777271348	2	postgres-0	12m	334Mi
1777271349	2	hermod-coordinator-58987bd45c-5mqrd	618m	145Mi
1777271349	2	nanomq-5b8db4c554-b876v	236m	1Mi
1777271349	2	postgres-0	12m	334Mi
1777271350	2	hermod-coordinator-58987bd45c-5mqrd	618m	145Mi
1777271350	2	nanomq-5b8db4c554-b876v	236m	1Mi
1777271350	2	postgres-0	12m	334Mi
1777271351	2	hermod-coordinator-58987bd45c-5mqrd	116m	146Mi
1777271351	2	nanomq-5b8db4c554-b876v	1m	1Mi
1777271351	2	postgres-0	140m	335Mi
1777271352	2	hermod-coordinator-58987bd45c-5mqrd	116m	146Mi
1777271352	2	nanomq-5b8db4c554-b876v	1m	1Mi
1777271352	2	postgres-0	140m	335Mi
1777271353	2	hermod-coordinator-58987bd45c-5mqrd	116m	146Mi
1777271353	2	nanomq-5b8db4c554-b876v	1m	1Mi
1777271353	2	postgres-0	140m	335Mi
1777271354	2	hermod-coordinator-58987bd45c-5mqrd	116m	146Mi
1777271354	2	nanomq-5b8db4c554-b876v	1m	1Mi
1777271354	2	postgres-0	140m	335Mi
1777271355	2	hermod-coordinator-58987bd45c-5mqrd	116m	146Mi
1777271355	2	nanomq-5b8db4c554-b876v	1m	1Mi
1777271355	2	postgres-0	140m	335Mi
1777271356	2	hermod-coordinator-58987bd45c-5mqrd	116m	146Mi
1777271356	2	nanomq-5b8db4c554-b876v	1m	1Mi
1777271356	2	postgres-0	140m	335Mi
1777271357	2	hermod-coordinator-58987bd45c-5mqrd	116m	146Mi
1777271357	2	nanomq-5b8db4c554-b876v	1m	1Mi
1777271357	2	postgres-0	140m	335Mi
1777271359	2	hermod-coordinator-58987bd45c-5mqrd	116m	146Mi
1777271359	2	nanomq-5b8db4c554-b876v	1m	1Mi
1777271359	2	postgres-0	140m	335Mi
1777271360	2	hermod-coordinator-58987bd45c-5mqrd	116m	146Mi
1777271360	2	nanomq-5b8db4c554-b876v	1m	1Mi
1777271360	2	postgres-0	140m	335Mi
1777271361	2	hermod-coordinator-58987bd45c-5mqrd	116m	146Mi
1777271361	2	nanomq-5b8db4c554-b876v	1m	1Mi
1777271361	2	postgres-0	140m	335Mi
1777271362	2	hermod-coordinator-58987bd45c-5mqrd	116m	146Mi
1777271362	2	nanomq-5b8db4c554-b876v	1m	1Mi
1777271362	2	postgres-0	140m	335Mi
