ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777256856	1.12	1.25	1.58	1568	6369	15	9129847353	1351090086
1777256867	1.49	1.33	1.60	1588	6349	15	9130921947	1353459766
1777256879	1.29	1.29	1.59	1600	6336	15	9130997367	1353735181
1777256890	1.64	1.37	1.61	1659	6277	15	9134903259	1354466146
1777256901	1.39	1.32	1.59	1623	6313	15	9138836112	1355196057
1777256912	2.11	1.48	1.64	1649	6288	15	9141523055	1355742288
1777256924	1.91	1.47	1.63	1671	6265	15	9141578930	1355950845
1777256935	1.62	1.42	1.62	1645	6291	15	9143458488	1356467124
1777256946	1.45	1.39	1.60	1641	6295	15	9147407672	1357163418
1777256958	2.97	1.74	1.72	1657	6279	15	9151349889	1357893885
1777256969	2.51	1.68	1.70	1664	6272	15	9152166527	1358198620
1777256980	2.13	1.63	1.68	1646	6290	15	9152232102	1358440774
1777256991	2.09	1.64	1.68	1691	6246	15	9156011108	1359165072
1777257003	2.40	1.72	1.71	1656	6280	15	9159945570	1359861171
1777257014	2.10	1.68	1.70	1654	6282	15	9162757103	1360446090
1777257026	1.78	1.63	1.68	1667	6270	15	9162812961	1360654523
1777257037	1.67	1.61	1.67	1676	6260	15	9164469806	1361127440
1777257048	2.19	1.72	1.71	1665	6271	15	9168422969	1361858424
1777257059	2.01	1.70	1.70	1664	6272	15	9172601182	1362597975
1777257071	1.70	1.65	1.68	1671	6265	15	9173401881	1362901967
1777257082	1.44	1.59	1.67	1674	6263	15	9173467442	1363144476
1777257094	1.79	1.66	1.69	1671	6265	16	9177057353	1363828669
1777257105	2.20	1.75	1.72	1648	6288	16	9180990223	1364559342
1777257116	2.18	1.76	1.72	1674	6262	16	9183993097	1365185957
1777257127	1.84	1.71	1.70	1702	6234	16	9184048978	1365394518
